Title,Price,Category,Image url
MUBW 15  (49906),0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/08/819699_1-352x225.jpg
MUR1620   (43175),3.0,დიოდები,https://store.edison.ge/wp-content/uploads/2021/03/TO-220-AB-352x225.jpg
N55B   (39425),6.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2020/12/n55b-352x225.jpeg
NTC თერმისტორი 100K-5%   (21089),0.5,თერმო წინაღობა,https://store.edison.ge/wp-content/uploads/2019/12/thermistor-352x225.jpg
NTC თერმისტორი 10K-5%   (21083),0.5,თერმო წინაღობა,https://store.edison.ge/wp-content/uploads/2019/12/thermistor-352x225.jpg
NTC თერმისტორი 1K-5%   (21075),0.5,თერმო წინაღობა,https://store.edison.ge/wp-content/uploads/2019/12/thermistor-352x225.jpg
NTC თერმისტორი 50K-5%   (21084),0.5,თერმო წინაღობა,https://store.edison.ge/wp-content/uploads/2019/12/thermistor-352x225.jpg
PT2399   (42606),10.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/03/513rwusm5yL._AC_SL1000_-352x225.jpg
RV097NS ცვლადი წინაღობა 10k + ჩამრთველი   (35621),1.0,ცვლადი წინაღობა,https://store.edison.ge/wp-content/uploads/2020/08/RV097NS-352x225.jpg
S3PDB180N16   (51316),145.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2021/09/S3PDB180N16-352x225.jpg
SC8002B   (54505),0.9,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/11/s-l300-300x225.jpg
SFR15F60 (10967),2.5,დიოდები,https://store.edison.ge/wp-content/uploads/2019/04/mur820-fast-recovery-rectifier-200v-8a-250x225.jpg
SMD ელექტროლიტური კონდენსატორი ალუმინის კორპუსში (37808),0.2,SMD,https://store.edison.ge/wp-content/uploads/2020/10/O1CN01mPXyBW1ipdq2L8NSS_831984462-352x225.jpg
SMD კერამიკული მცველი   (54839),0.5,დნობადი მცველი,https://store.edison.ge/wp-content/uploads/2021/11/s-l640-1-352x225.jpg
SOT23-5 PAM2804AAB010    (42144),2.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/03/R5386719-06-352x225.jpg
STF3NK80Z   (48343),12.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/06/TO-220-FULLPAK-Photo-352x225.jpg
STGB10NB37   (52749),7.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/10/09018a908067765c.png_501544693-352x225.png
STRX6759    (40880),11.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/02/HTB1cIr6xlsmBKNjSZFFq6AT9VXaV-352x225.jpg
